"ev"	"szemely"	"nem"	"orszag"	"kontinens"
1986	"Wole Soyinka"	"Férfi"	"Nigéria"	"Afrika"
1987	"Joszif Brodszkij"	"Férfi"	"Szovjetunió"	"Európa"
1988	"Nagíb Mahfúz"	"Férfi"	"Egyiptom"	"Ázsia"
1989	"Camilo José Cela"	"Férfi"	"Spanyolország"	"Európa"
1990	"Octavio Paz"	"Férfi"	"Mexikó"	"Észak- és Közép-Amerika"
1991	"Nadine Gordimer"	"Nõ"	"Dél-afrikai Köztársaság"	"Afrika"
1992	"Derek Walcott"	"Férfi"	"Saint Lucia"	"Észak- és Közép-Amerika"
1993	"Toni Morrison"	"Nõ"	"Egyesült Államok"	"Észak- és Közép-Amerika"
1994	"Óe Kenzaburó"	"Férfi"	"Japán"	"Ázsia"
1995	"Seamus Heaney"	"Férfi"	"Írország"	"Európa"
1996	"Wis³awa Szymborska"	"Nõ"	"Lengyelország"	"Európa"
1997	"Dario Fo"	"Férfi"	"Olaszország"	"Európa"
1998	"José Saramago"	"Férfi"	"Portugália"	"Európa"
1999	"Günter Grass"	"Férfi"	"Németország"	"Európa"
2000	"Kao Hszing-csien"	"Férfi"	"Kína"	"Ázsia"
2001	"Vidiadhar Surajprasad Naipaul"	"Férfi"	"Trinidad és Tobago"	"Észak- és Közép-Amerika"
2002	"Kertész Imre"	"Férfi"	"Magyarország"	"Európa"
2003	"John Maxwell Coetzee"	"Férfi"	"Dél-afrikai Köztársaság"	"Afrika"
2004	"Elfriede Jelinek"	"Nõ"	"Ausztria"	"Európa"
2005	"Harold Pinter"	"Férfi"	"Nagy-Britannia"	"Európa"
2006	"Orhan Pamuk"	"Férfi"	"Törökország"	"Ázsia"
2007	"Doris Lessing"	"Nõ"	"Nagy-Britannia"	"Európa"
2008	"Jean-Marie Gustave Le Clézio"	"Férfi"	"Franciaország"	"Európa"
2009	"Herta Müller"	"Nõ"	"Németország"	"Európa"
2010	"Mario Vargas Llosa"	"Férfi"	"Peru"	"Dél-Amerika"
2011	"Tomas Tranströmer"	"Férfi"	"Svédország"	"Európa"
2012	"Mo Jen"	"Férfi"	"Kína"	"Ázsia"
2013	"Alice Munro"	"Nõ"	"Kanada"	"Észak- és Közép-Amerika"
2014	"Patrick Modiano"	"Férfi"	"Franciaország"	"Európa"
2015	"Szvetlana Alekszijevics"	"Nõ"	"Fehéroroszország"	"Európa"
2016	"Bob Dylan"	"Férfi"	"Egyesült Államok"	"Észak- és Közép-Amerika"
2017	"Kazuo Ishiguro"	"Férfi"	"Nagy-Britannia"	"Európa"
2018	"Olga Tokarczuk"	"Nõ"	"Lengyelország"	"Európa"
2019	"Peter Handke"	"Férfi"	"Ausztria"	"Európa"
